                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2632,                0.62479,                0.92071,                0.68102,                0.65396,                0.64325,                 0.3635,                 1.3402,                 1.1618,                 1.0151,              0.0086932,              0.0086932,              0.0086932
                     35,                 1.2539,                0.62032,                0.92323,                 0.6892,                0.66574,                0.63569,                0.35071,                  1.336,                 1.1584,                 1.0053,              0.0086536,              0.0086536,              0.0086536
                     36,                  1.252,                0.61904,                0.92233,                0.65929,                 0.6403,                0.61746,                0.35357,                 1.3487,                 1.1505,                 1.0115,               0.008614,               0.008614,               0.008614
                     37,                 1.2476,                0.61491,                0.91656,                0.67039,                0.65975,                0.63679,                0.36401,                 1.3084,                 1.1668,                 1.0092,              0.0085744,              0.0085744,              0.0085744
                     38,                 1.2308,                0.60294,                0.91547,                0.69172,                0.68049,                0.64061,                0.36033,                 1.3292,                 1.1984,                 1.0081,              0.0085348,              0.0085348,              0.0085348
                     39,                 1.2261,                0.60077,                0.91341,                0.67711,                0.65251,                0.63137,                0.35874,                 1.3143,                  1.177,                 1.0129,              0.0084952,              0.0084952,              0.0084952
                     40,                 1.2219,                0.60092,                0.91369,                 0.6963,                0.63913,                0.63207,                0.36086,                 1.3242,                 1.1775,                  1.012,              0.0084556,              0.0084556,              0.0084556
                     41,                 1.2037,                 0.5895,                0.90904,                0.70247,                0.65798,                0.63879,                0.36159,                 1.3174,                 1.1161,                 1.0145,               0.008416,               0.008416,               0.008416
                     42,                 1.1972,                0.58536,                0.90672,                 0.6893,                0.64294,                0.62102,                0.35362,                 1.3095,                 1.1661,                 1.0105,              0.0083764,              0.0083764,              0.0083764
                     43,                  1.197,                0.58455,                0.90684,                0.69256,                 0.6497,                0.63619,                0.36819,                 1.3176,                 1.2023,                 1.0113,              0.0083368,              0.0083368,              0.0083368
                     44,                 1.1811,                0.58225,                 0.9037,                0.70181,                0.64121,                0.62694,                0.35599,                 1.3179,                 1.1731,                 1.0169,              0.0082972,              0.0082972,              0.0082972
                     45,                 1.1836,                0.57835,                0.90296,                0.69527,                0.67331,                0.64585,                 0.3567,                 1.3202,                 1.1478,                 1.0131,              0.0082576,              0.0082576,              0.0082576
                     46,                 1.1756,                0.57426,                0.90451,                0.68167,                0.66493,                0.63083,                0.35444,                  1.336,                 1.1869,                 1.0183,               0.008218,               0.008218,               0.008218
                     47,                 1.1561,                0.57011,                0.89865,                0.71829,                0.66416,                0.64673,                0.36374,                 1.3233,                 1.1558,                 1.0116,              0.0081784,              0.0081784,              0.0081784
                     48,                 1.1485,                0.56454,                0.89549,                0.71533,                0.66107,                0.64933,                0.36097,                 1.3488,                 1.2368,                  1.028,              0.0081388,              0.0081388,              0.0081388
                     49,                 1.1609,                0.56582,                0.90193,                0.72069,                0.64892,                0.63757,                0.36173,                 1.3368,                 1.1867,                 1.0208,              0.0080992,              0.0080992,              0.0080992
                     50,                 1.1369,                 0.5558,                0.89392,                 0.6514,                0.65312,                0.62827,                0.35535,                 1.3271,                 1.1653,                 1.0089,              0.0080596,              0.0080596,              0.0080596
                     51,                 1.1312,                0.55321,                0.89201,                0.68136,                0.66445,                0.63207,                0.35904,                 1.3323,                 1.2133,                 1.0209,                0.00802,                0.00802,                0.00802
                     52,                 1.1235,                0.55036,                0.88981,                0.71198,                0.63377,                   0.63,                0.35873,                 1.3266,                 1.2103,                 1.0207,              0.0079804,              0.0079804,              0.0079804
                     53,                 1.1187,                 0.5462,                0.89416,                0.70768,                0.65173,                0.63163,                 0.3601,                 1.3112,                 1.1712,                 1.0133,              0.0079408,              0.0079408,              0.0079408
                     54,                 1.1116,                0.54644,                0.88855,                0.69785,                0.65662,                0.63079,                0.35532,                 1.3355,                 1.2245,                 1.0246,              0.0079012,              0.0079012,              0.0079012
                     55,                 1.1135,                0.54682,                0.89518,                 0.7461,                0.62403,                0.63549,                0.35922,                 1.3191,                 1.2415,                 1.0175,              0.0078616,              0.0078616,              0.0078616
                     56,                 1.1023,                  0.543,                0.88688,                0.69687,                0.65767,                0.63376,                0.35869,                 1.3282,                 1.1718,                 1.0265,               0.007822,               0.007822,               0.007822
                     57,                 1.0983,                0.53761,                0.88752,                 0.6869,                0.65564,                0.62763,                0.35697,                 1.3141,                 1.2084,                 1.0134,              0.0077824,              0.0077824,              0.0077824
                     58,                 1.0886,                0.53578,                0.88442,                0.69922,                 0.6703,                0.64163,                0.36527,                 1.3241,                 1.1744,                 1.0185,              0.0077428,              0.0077428,              0.0077428
                     59,                 1.0868,                0.53402,                0.88495,                0.67911,                0.64716,                0.63044,                0.35867,                  1.327,                 1.2207,                 1.0231,              0.0077032,              0.0077032,              0.0077032
                     60,                 1.0852,                0.53107,                0.88381,                0.66065,                0.66943,                0.62911,                0.35603,                 1.3399,                 1.2047,                 1.0298,              0.0076636,              0.0076636,              0.0076636
                     61,                 1.0673,                0.52091,                0.88019,                0.70785,                0.66936,                0.62858,                0.35392,                  1.332,                 1.2836,                 1.0289,               0.007624,               0.007624,               0.007624
                     62,                 1.0618,                0.52068,                   0.88,                0.69288,                0.66307,                0.63165,                0.35567,                 1.3216,                 1.2335,                  1.024,              0.0075844,              0.0075844,              0.0075844
                     63,                 1.0665,                0.52388,                0.87962,                0.71078,                0.66664,                0.63588,                0.35677,                 1.3403,                 1.2217,                 1.0282,              0.0075448,              0.0075448,              0.0075448
                     64,                  1.057,                0.52031,                0.87951,                0.67652,                0.66667,                0.62106,                0.35237,                 1.3395,                 1.2455,                 1.0246,              0.0075052,              0.0075052,              0.0075052
                     65,                 1.0461,                0.51356,                0.87808,                0.69239,                 0.6634,                 0.6272,                0.35798,                 1.3279,                 1.2445,                 1.0254,              0.0074656,              0.0074656,              0.0074656
                     66,                 1.0526,                0.51709,                0.87635,                0.68788,                0.66673,                0.62635,                0.35332,                 1.3464,                  1.266,                 1.0336,               0.007426,               0.007426,               0.007426
                     67,                 1.0396,                0.50823,                0.87266,                0.74111,                0.68585,                0.65438,                0.36221,                 1.3175,                 1.2288,                 1.0246,              0.0073864,              0.0073864,              0.0073864
                     68,                 1.0287,                0.50646,                0.87406,                0.68525,                0.67628,                0.63421,                0.36167,                 1.3214,                 1.2142,                 1.0234,              0.0073468,              0.0073468,              0.0073468
                     69,                 1.0255,                0.50636,                0.87106,                0.67949,                0.68333,                0.62941,                0.36032,                  1.328,                 1.2147,                 1.0276,              0.0073072,              0.0073072,              0.0073072
                     70,                 1.0196,                 0.5037,                0.87265,                0.72008,                 0.6807,                0.64429,                0.36667,                   1.33,                 1.2038,                 1.0262,              0.0072676,              0.0072676,              0.0072676
                     71,                  1.016,                0.50192,                0.87058,                0.69609,                0.67764,                0.63767,                0.36753,                 1.3311,                 1.2002,                 1.0315,               0.007228,               0.007228,               0.007228
                     72,                 1.0119,                0.49982,                0.86903,                0.75524,                0.63965,                0.64007,                0.35886,                 1.3299,                 1.2155,                 1.0308,              0.0071884,              0.0071884,              0.0071884
                     73,                 1.0112,                0.49773,                0.87024,                0.71725,                0.67763,                0.64516,                0.35729,                 1.3209,                 1.2486,                  1.027,              0.0071488,              0.0071488,              0.0071488
